1,"Hoa Tươi","Hoa tươi các loại từ hoa hồng, hoa ly, hoa lan đến hoa cúc, phù hợp với mọi dịp."
2,"Bó Hoa","Hoa được bó theo kiểu dáng hiện đại, truyền thống, hoặc theo yêu cầu khách hàng."
3,"Lẵng Hoa","Lẵng hoa trang trí cho các sự kiện như khai trương, sinh nhật, lễ cưới."
4,"Hoa Cưới","Hoa cưới cầm tay, hoa cài áo, hoa trang trí xe cưới, và các phụ kiện cưới."
5,"Hoa Sinh Nhật","Hoa tặng sinh nhật với thiết kế độc đáo, mang thông điệp yêu thương."
6,"Hoa Chúc Mừng","Hoa dành cho các dịp khai trương, tốt nghiệp, hay thành công trong công việc."
7,"Hoa Tưởng Niệm","Hoa chia buồn, vòng hoa tang lễ, hoa viếng mang ý nghĩa kính trọng."
8,"Hoa Nhập Khẩu","Hoa cao cấp nhập khẩu như tulip, mẫu đơn, cẩm tú cầu."
9,"Cây Xanh Mini","Cây cảnh mini để bàn, cây xương rồng, cây sen đá."
10,"Phụ Kiện Trang Trí","Ruy băng, giấy gói hoa, bình cắm hoa và các phụ kiện kèm theo."
